Sensor Name,Latitude,Longitude,deployment_id,,,
BK - 4th Av/Garfield Pl,40.67585478,-73.98394371,daily_gentle_beetle,,,
BK - 9th St/Smith St (RETIRED),40.67365435,-73.99539641,widely_proud_lizard,,,
BK - 9th St/Smith St,40.673401,-73.994892,overly_heroic_squid,,,
BK - Carroll St/4th Av,40.67628059,-73.98408855,weekly_poetic_guinea,,,
BK - Columbia St/Bay St,40.6732672,-74.0084181,vastly_saving_whale,,,
BK - Dwight St/King St,40.6762931,-74.0086407,openly_driven_tarpon,,,
BK - Gerry St/Union Av,40.69988108,-73.94991889,(not live yet),,,
BK - Henry St/Mill St,40.67573424,-74.00339626,jolly_tender_squid,,,
BK - Hoyt St/5th St,40.67667202,-73.99459095,daily_new_falcon,,,
BK - Lorraine St/Henry St,40.6737066,-74.0043495,early_still_frog,,,
BK - Marcy Av/Ellery St,40.69797412,-73.94983662,really_vocal_puma,,,
BK - Pioneer St/Conover St,40.67973354,-74.01242208,gladly_mint_snail,,,
BK - Van Brunt St/Reed St,40.6746023,-74.0160698,evenly_divine_dingo,,,
BX - Colgate Av/Westchester Av,40.8284266,-73.8820354,weekly_fair_dove,,,
BX - Home St/Intervale Av,40.82826298,-73.89503694,daily_mutual_gnat,,,
BX - Louis Niñé Bl/Southern Bl,40.83097204,-73.89224038,mainly_whole_slug,,,
BX - Sheridan Bl/173rd St,40.83360124,-73.88327326,slowly_fast_sawfly,,,
M - 126th St/7th Av,40.80982983,-73.94810047,easily_cosmic_slug,,,
M - Morningside Av/125th St,40.81115917,-73.95403304,duly_star_bee,,,
M - Waverly Pl/6th Av,40.7329861,-74.0003358,simply_pet_joey,,,
Q - Davenport Ct 1,40.6533868,-73.8305586,mildly_calm_ibex,,,
Q - Davenport Ct 2,40.6533868,-73.8305586,mainly_fond_boar,,,
Q - Russell St 1,40.65431241,-73.83156638,duly_pro_vervet,,,
Q - Russell St 2,40.6542542,-73.83173579,easily_dear_mouse,,,
Q - 157th St/109th Ave,40.69329667,-73.79433682,total_moccasin_dolphin,,,
Q - 108th Ave/159th St,40.69537131,-73.79411487,handsome_violet_leech,,,
Q - 159th St/109th Ave,40.69395022,-73.79308702,boring_olive_stingray,,,
Q - Brinkerhoff Ave/157th St,40.691989,-73.792461,tired_red_monkey,,,
Q - Beach 84 St,40.59136,-73.80996,daily_happy_satyr,,,
SI - Loop Rd,40.60694,-74.1534582,ugliest_cyan_elephant,,,
SI - Willow Rd E/Nina Ave,40.61133023,-74.1510578,asleep_apricot_bedbug,,,
SI - Lyon Pl/Devens St,40.61937329,-74.14743599,future_aqua_wildcat,,,
SI - Maple Parkway,40.62884352,-74.15675929,disabled_pink_prawn,,,
SI - Jewett Ave/Castleton Ave,40.63334637,-74.12958313,useless_crimson_rook,,,